County_High,State,Lat,Lng
Los Angeles,California,34.052235,-118.24368
San Bernardino,California,34.115784,-117.302399
Riverside,California,33.95335,-117.396156
Harris,Texas,29.749907,-95.358421
Dallas,Texas,32.779167,-96.808891
Tarrant,Texas,32.768799,-97.309341
Miami-Dade,Florida,25.761681,-80.191788
Broward,Florida,26.190096,-80.365865
Palm Beach,Florida,26.709723,-80.064163
